,id,transcription,gloss,translation,start,end,comment,author,binom,notbinom,*binom,*notbinom,com_type,companion,ins-participant
379,RGD_20220811@TK_13,remkə-ɬʔə-n ujŋe a-telefon-k-a jara-ŋə ∅-lʔu-ni-n,народ-attr-nom.sg нет car-телефон-car-ins яранга-nom.sg 2/3.s/a-видеть-3sg.a.3.o-3sg.o,Гость без телефона дом нашёл.,00:27:56.457,00:28:02.797,"#бином (осторожно, дальше звёздочка на похожее)",RGD,True,,,,remkə-ɬʔə-n ujŋe a-telefon-k-a jara-ŋə ∅-lʔu-ni-n,телефон,
380,RGD_20220811@TK_14,a-telefon-k-a ∅-lʔu-ni-n,car-телефон-car-ins 2/3.s/a-видеть-3sg.a.3.o-3sg.o,Без телефона нашёл.,00:28:39.407,00:28:43.707,,RGD,,,,,a-telefon-k-a ∅-lʔu-ni-n,телефон,
381,RGD_20220811@TK_15,remkə-ɬʔ-a (*/remkə-ɬʔə-n) a-telefon-k-a ∅-lʔu-ni-n jara-ŋə,народ-attr-ins народ-attr-nom.sg car-телефон-car-ins 2/3.s/a-видеть-3sg.a.3.o-3sg.o яранга-nom.sg,Гость без телефона нашёл дом.,00:29:36.610,00:29:42.857,,RGD,,,,,remkə-ɬʔ-a (*/remkə-ɬʔə-n) a-telefon-k-a ∅-lʔu-ni-n jara-ŋə,телефон,народ-attr
382,RGD_20220811@TK_16,jʔajaq=ʔəm ʔəttʔə-qej-e ne-piri-ʔe-n tekisɣən,чайка=emph собака-dim-ins low.a-брать-th-3sg.o мясо,Чайка и собака растащили мясо.,00:30:21.872,00:30:30.220,"WDK, что там с падежом у чайки.",RGD,,,,,jʔajaq=ʔəm ʔəttʔə-qej-e ne-piri-ʔe-n tekisɣən,,собака-dim
383,RGD_20220811@TK_17,jʔajaq ɣ-ʔəttʔə-ma ne-piri-ʔe-n tekisɣən,чайка com-собака-sim low.a-брать-th-3sg.o мясо,Чайка и собака растащили мясо.,00:30:58.521,00:31:03.201,#бином (дальше ещё 3 произнесения),RGD,True,,,,jʔajaq ɣ-ʔəttʔə-ma ne-piri-ʔe-n tekisɣən,собака,
384,RGD_20220811@TK_18,jʔajaq-a ∅-piri-ni-n tekisɣən,чайка-ins 2/3.s/a-брать-3sg.a.3.o-3sg.o мясо-nom.sg,Чайка забрала мясо.,00:31:30.610,00:31:34.256,,RGD,,,,,jʔajaq-a ∅-piri-ni-n tekisɣən,,чайка
385,RGD_20220811@TK_19,ŋewəsqet-∅ ʔuwequsi-k emise ∅-ta-ra-ŋ-ʔ-e,девушка муж-loc в.отсутствие make-жилище-make-th-2/3sg.s,Девушка в отсутствие мужа ярангу поставила. (муж куда-то ушёл),00:35:36.060,00:35:48.743,Лёше.,RGD,,,,,ŋewəsqet-∅ ʔuwequsi-k emise ∅-ta-ra-ŋ-ʔ-e,,
386,RGD_20220811@TK_20,ətɬəɣə-n (/ətɬəɣ-e) ɣ-ekke-te ne-kənʔu-ɣʔe-n qora-ŋə,отец-nom.sg отец-ins com-сын-ins low.a-поймать.арканом-th-3sg.o   олень-nom.sg,Отец с сыном поймали оленя.,00:43:09.840,00:43:14.780,"#бином первой реакцией. Про INS: одно и то же получается, но так пойдёт тоже. Попыталась перенести про сына в конец - не получилось выспросить.",RGD,True,,,,ətɬəɣə-n (/ətɬəɣ-e) ɣ-ekke-te ne-kənʔu-ɣʔe-n qora-ŋə,сын,отец
387,RGD_20220811@TK_21,ətɬəɣ-e (/ətɬəɣə-n) ɣ-akka-ma ne-kənʔu-ɣʔe-n qora-ŋə,отец-ins отец-nom.sg com-сын-sim low.a-поймать.арканом-th-3sg.o   олень-nom.sg,Отец с сыном поймали оленя.,00:44:46.120,00:44:52.200,"Сказал, что можно и ətɬəɣ-e, и ətɬəɣə-n. Повторил с ətɬəɣ-e.",RGD,,,,,ətɬəɣ-e (/ətɬəɣə-n) ɣ-akka-ma ne-kənʔu-ɣʔe-n qora-ŋə,сын,отец
388,RGD_20220811@TK_22,nuntəm-ŋin-qej-∅ ∅-kəwəs-ren-ni-n keɬinəɣjiwetəɬʔə-n,тихий-молодой-dim-nom.sg 2/3.s/a-гостинец-приносить-3sg.a.3.o-3sg.o учитель-nom.sg,Молчаливый мальчик. Подарил подарок учительнице.,00:45:24.670,00:45:34.410,(гостинец - kəwej),RGD,,,,,nuntəm-ŋin-qej-∅ ∅-kəwəs-ren-ni-n keɬinəɣjiwetəɬʔə-n,,
389,RGD_20220811@TK_23,n.untəm-qin a-wetɣaw-kə-ŋen-qaj,st.тихий-st.3sg car-говорить-car-молодой-dim,Тихий мальчик.,00:45:37.880,00:45:40.910,,RGD,,,,,n.untəm-qin a-wetɣaw-kə-ŋen-qaj,говорить,
390,RGD_20220811@TK_24,a-wwe-tkən-k-a nə-twa-qen,car-воздух-top-car-ins st-быть-st.3sg,Он молчаливый.,00:45:51.420,00:45:53.735,,RGD,,,,,a-wwe-tkən-k-a nə-twa-qen,воздух-top,
391,RGD_20220811@TK_25,mikə-ne=reen (*/ɣa-mek-ma */ɣa-mekə-ne-ma */ɣa-maŋen-ma */ɣe-mikə-ne */ɣe-mik-e) nə-kuɬaj-qen qɬawəɬ-∅,кто.obl-an.ins=вместе.с.этимм com-кто.obl-sim com-кто.obl-an.ins-sim com-кто-sim com-кто-an.ins com-кто-an.ins st-гулять-st.3sg  мужчина-nom.sg,С кем гулял парень?,00:52:11.540,00:52:14.404,,RGD,,,,,mikə-ne=reen (*/ɣa-mek-ma */ɣa-mekə-ne-ma */ɣa-maŋen-ma */ɣe-mikə-ne */ɣe-mik-e) nə-kuɬaj-qen qɬawəɬ-∅,кто.obl,кто.obl
392,RGD_20220811@TK_26,ɣəm-nan ɣ-jisʔem.it.tumɣ-e,я-ins com-брат-ins,Я с близким родственником,00:54:39.760,00:54:42.220,jisʔemittumɣən - брат,RGD,,,,,ɣəm-nan ɣ-jisʔem.it.tumɣ-e,брат,я
393,RGD_20220811@TK_28,ɣəm ɣ-ətɬeŋu-te mət-risowat-ʔə-n emnuŋ-∅,я com-младший.брат-ins 1pl.s/a-рисовать-th-3sg.o тундра-nom.sg,Я с братом нарисовали тундру.,00:55:19.848,00:55:24.825,"#бином mət-tejək-ɣʔə-n - тоже можно, mət-keɬi-sit-ʔə-n - общее слово, что на бумаге пишешь.",RGD,True,,,,ɣəm ɣ-ətɬeŋu-te mət-risowat-ʔə-n emnuŋ-∅,младший.брат,
394,RGD_20220811@TK_29,muri (/morɣə-nan) ɣ-ətɬeŋu-te mət-risowat-ʔə-n emnuŋ-∅,мы (мы-ins) com-младший.брат-ins 1pl.s/a-рисовать-th-3sg.o   тундра-nom.sg,Мы с братом нарисовали тундру.,00:56:41.725,00:56:44.897,#бином,RGD,True,,,,muri (/morɣə-nan) ɣ-ətɬeŋu-te mət-risowat-ʔə-n emnuŋ-∅,младший.брат,(мы
395,ONN_20220806@TK_1,ŋin-qej n-atsə-set-qen,молодой-dim st-прятаться-comb-st.3sg,Мальчик в прятки играет.,00:13:24.314,00:13:29.284,"Удивилась: ""Один что ли"".",ONN,,,,,ŋin-qej n-atsə-set-qen,,
396,ONN_20220806@TK_2,n-atsə-ɬʔat-qen=ɬəməu ŋin-qej,st-прятаться-plac-st.3sg=или молодой-dim,Мальчик прячется.,00:13:34.110,00:13:36.200,"Частица ""или"" просто вводит ещё один вариант.",ONN,,,,,n-atsə-ɬʔat-qen=ɬəməu ŋin-qej,,
397,ONN_20220806@TK_3,ate-qaj ənqan=e n-atsə-set-qena-t ɣe-ŋe-ekke-te,отец-dim det=ptcl st-прятаться-comb-st.3sg-pl com-fem-сын-ins,Стимул: Отец с дочками в прятки играет.,00:13:42.965,00:13:49.015,,ONN,,,,,ate-qaj ənqan=e n-atsə-set-qena-t ɣe-ŋe-ekke-te,fem-сын,
398,ONN_20220806@TK_4,ŋe-ekke-qeɣ-ti этот n-ine-n-uwiswe-w-qena-t n-atsə-set-qena-t ətɬəɣə-n n-ine-n-uwiswe-w-qena-t,fem-сын-dim-nom.pl этот st-inv-tr-играть-cs-st.3sg-pl st-прятаться-comb-st.3sg-pl отец-nom.sg st-inv-tr-играть-cs-st.3sg-pl,Отец с дочками в прятки играет.,00:13:51.680,00:13:59.490,,ONN,,,,,ŋe-ekke-qeɣ-ti этот n-ine-n-uwiswe-w-qena-t n-atsə-set-qena-t ətɬəɣə-n n-ine-n-uwiswe-w-qena-t,,
400,ONN_20220806@TK_6,ate-qaj-əna n-ine-n-atsə-set-qen ŋe-ekkə-∅,папа-dim-an.ins st-inv-tr-прятаться-cs-st.3sg-pl fem-сын-nom.sg,Папа с дочкой в прятки играет. (с 1ой),00:14:56.090,00:15:00.740,,ONN,,,,,ate-qaj-əna n-ine-n-atsə-set-qen ŋe-ekkə-∅,,папа-dim
401,ONN_20220806@TK_7,ətɬəɣə-n ɣe-ŋe-ekke-te n-atsə-set-qena-t,отец-nom.sg com-fem-сын-ins st-прятаться-comb-st.3sg-pl,Папа с дочкой в прятки играет. (с 1ой),00:15:05.880,00:15:08.410,,ONN,,,,,ətɬəɣə-n ɣe-ŋe-ekke-te n-atsə-set-qena-t,fem-сын,
403,ONN_20220806@TK_9,ətɬəɣə-n ɣe-ŋe-ekke-te n-atsə-set-qen,отец-nom.sg com-fem-сын-ins st-прятаться-comb-st.3sg,Отец с дочкой в прятки играют. (с 1ой),00:17:01.010,00:17:06.005,"Ну, можно укоротить, конечно. (повторила) Да, можно.",ONN,,,,,ətɬəɣə-n ɣe-ŋe-ekke-te n-atsə-set-qen,fem-сын,
404,ONN_20220806@TK_10,əpsinikɬine,idk,Неразговорчивый (про взрослого),00:18:05.690,00:18:09.300,,ONN,,,,,əpsinikɬine,,
405,ONN_20220806@TK_11,"mas-a-wetɣaw-kə-ɬʔə-n, mas-a-wetɣaw-k-ɬʔə-ŋin-qaj",appr-car-говорить-car-attr-nom.sg appr-car-говорить-car-attr-молодой-dim,Молчаливый мальчик,00:18:39.470,00:18:44.060,"-ɬɣaw(-kə) CUM(-LOC) Говорить умеет, но попробуй его разговорить.",ONN,,,,,"mas-a-wetɣaw-kə-ɬʔə-n, mas-a-wetɣaw-k-ɬʔə-ŋin-qaj",говорить,
406,ONN_20220806@TK_12,a-wetɣaw-k-ɬʔə-n,car-говорить-car-attr-nom.sg,Вообще не разговаривающий.,00:18:44.495,00:18:46.110,,ONN,,,,,a-wetɣaw-k-ɬʔə-n,говорить,
407,ONN_20220806@TK_13,∅-maɣɬaɬʔə-n nee vasʲilʲisa ɣe-jet-ɬin,ездок.на.собаках-nom.sg idk василиса pf-приходить-pf.3sg,Василиса приехала на собаках.,00:19:23.910,00:19:28.532,IDK + слышу ɣe-jet-ɬit,ONN,,,,,∅-maɣɬaɬʔə-n nee vasʲilʲisa ɣe-jet-ɬin,,
408,ONN_20220806@TK_14,ɣe-ʔəttʔə-ma ɣe-jet-ɬin vasʲilʲisa,com-собака-sim pf-приходить-pf.3sg василиса,Василиса с собакай приехала. (с 1ой),00:19:48.011,00:19:51.721,"А можно ɣe-ʔəttʔə-te? Ну да, наверно можно. (повторила)",ONN,,,,,ɣe-ʔəttʔə-ma ɣe-jet-ɬin vasʲilʲisa,собака,
409,ONN_20220806@TK_15,vasʲilʲis-ina ʔəttʔə-qaj nemqej ɣe-jet-ɬin,василиса-poss собака-dim тоже pf-приходить-pf.3sg,Василиса с собакой приехала.,00:20:01.646,00:20:05.400,,ONN,,,,,vasʲilʲis-ina ʔəttʔə-qaj nemqej ɣe-jet-ɬin,,
410,ONN_20220806@TK_16,"∅-pəkir-ɣʔ-i, ɣe-pəkit-ɬin",2/3.s/a-прибывать-th-2/3sg.s pf-прибывать-pf.3sg,Приехала.,00:20:20.803,00:20:30.220,"ɣe-pəkit-ɬin - вчера, ∅-pəkir-ɣʔ-i - на данный момент",ONN,,,,,"∅-pəkir-ɣʔ-i, ɣe-pəkit-ɬin",,
411,ONN_20220806@TK_17,ɣe-ʔəttʔə-ma ɣe-pəkit-ɬin /*ɣe-pəkit-ɬinə-t,com-собака-sim pf-прибывать-pf.3sg /pf-прибывать-pf.3sg-pl,С собакой приехала.,00:20:57.110,00:20:59.710,"Людей считаем, собак не считаем.",ONN,,,,,ɣe-ʔəttʔə-ma ɣe-pəkit-ɬin /*ɣe-pəkit-ɬinə-t,собака,
412,ONN_20220806@TK_18,ajwe turi ∅-pəkit-tək,вчера вы 2/3.s/a-прибывать-2pl.s/o,Вы вчера приехали.,00:22:02.386,00:22:07.770,,ONN,,,,,ajwe turi ∅-pəkit-tək,,
413,ONN_20220806@TK_19,ʔettʔe-qaɣ-ti ɣe-pəkit-ɬinə-t,собака-dim-nom.pl pf-прибывать-pf.3sg-pl,Cобаки пришли.,00:23:27.831,00:23:30.691,,ONN,,,,,ʔettʔe-qaɣ-ti ɣe-pəkit-ɬinə-t,,
414,ONN_20220806@TK_20,ʔorawetɬʔa-n ɣe-ʔəttʔə-ma (/ɣe-ʔəttʔə-mkə-ma) ɣe-pəkit-ɬin,человек-nom.sg com-собака-sim com-собака-coll-sim pf-прибывать-pf.3sg,Человек с собакой(1+) (/собаками) приехал.,00:23:41.000,00:23:45.160,"Собак могло быть несколько. Если нужно уточнить, что именно несколько - mk. Если будет гл.-pl, то значит, что несколько людей.",ONN,,,,,ʔorawetɬʔa-n ɣe-ʔəttʔə-ma (/ɣe-ʔəttʔə-mkə-ma) ɣe-pəkit-ɬin,собака,
415,ONN_20220806@TK_21,ənqen=a ʔorawetɬʔa-n ɣe-ekke-te ajwe ɣa-ta-ra-ɣ-ɬen,det=ptcl человек-nom.sg com-сын-ins вчера pf-make-жилище-make-pf.3sg,Это человек с сыном построил.,00:26:16.693,00:26:23.548,Долго думала про pl у сыновей. Пыталась выразить.,ONN,,,,,ənqen=a ʔorawetɬʔa-n ɣe-ekke-te ajwe ɣa-ta-ra-ɣ-ɬen,сын,
416,ONN_20220806@TK_22,nə-ta-ra-ɣ-muri ɣe-ekke-te neməqaj aɬme ŋe-ekke-t nemeqaj nə-winret-qine-t muri(?),st-make-жилище-make-np.1pl тоже вдвоём fem-сын-pl тоже st-помогать-st.3sg-pl мы,"Мы построили дом с сыном вдвоём, дочки тоже помогали.",00:27:10.983,00:27:18.758,,ONN,,,,,nə-ta-ra-ɣ-muri ɣe-ekke-te neməqaj aɬme ŋe-ekke-t nemeqaj nə-winret-qine-t muri(?),,
417,ONN_20220806@TK_23,ɣem-nin tumɣətum-∅ i ŋireq ekke-t n-ta-ra-ɣ-muri,я-poss друг-nom.sg и два сын-pl st-make-жилище-make-np.1pl,Мой друг и 2 сына построили дом.,00:27:19.225,00:27:25.838,,ONN,,,,,ɣem-nin tumɣətum-∅ i ŋireq ekke-t n-ta-ra-ɣ-muri,два,
418,ONN_20220806@TK_24,məɬ-ʔarojrə nenqenen erwine qɬawəɬə-n arojrʔet они потом спросят:  mikə-nti? qɬawəɬə-n nine-ekke-t,seem-idk idk idk мужчина-nom.sg? они потом спросят: idk кто-nom.pl мужчина-nom.sg? idk-сынidk,Стимул: мужчина с сыновьями дом построил.,00:27:35.433,00:27:49.177,,ONN,,,,,məɬ-ʔarojrə nenqenen erwine qɬawəɬə-n arojrʔet они потом спросят:  mikə-nti? qɬawəɬə-n nine-ekke-t,,
419,ONN_20220806@TK_25,ənqan=e ʔorawetɬʔa-n=e mk-ekke-ɬʔi-n ∅-ta-ra-ɣʔ-e,det=ptcl человек-nom.sg многий-сын-attr-nom.sg 2/3.s/a-make-жилище-th-2/3sg.s,Этот человек с большим количеством сыновей построил дом.,00:27:58.088,00:28:03.298,Слышу kk как tk. Постоянно.,ONN,,,,,ənqan=e ʔorawetɬʔa-n=e mk-ekke-ɬʔi-n ∅-ta-ra-ɣʔ-e,многий-сын,
420,ONN_20220806@TK_26,jara-ŋə teikni-n mk-ekke-ɬʔi-n,яранга-nom.sg idk многий-сын-attr-nom.sg,Ярангу построил имеющий много сыновей.,00:28:03.886,00:28:07.209,,ONN,,,,,jara-ŋə teikni-n mk-ekke-ɬʔi-n,многий-сын,
421,ONN_20220806@TK_27,"qɬawəɬ ɣe-ekke-te ∅-ta-ra-ɣʔ-e, ta-ra-ŋ-ɬin, ∅-ra-ta-ra-ŋ-ɣʔa",мужчина com-сын-ins 2/3.s/a-make-жилище-make-th-2/3sg.s pf-make-жилище-make-pf.3sg 2/3.s/a-fut-make-жилище-make-th,"Мужчина с сыном уже построил, построил, построит дом.",00:28:58.548,00:29:06.403,ɣe - PF потерялось.,ONN,,,,,"qɬawəɬ ɣe-ekke-te ∅-ta-ra-ɣʔ-e, ta-ra-ŋ-ɬin, ∅-ra-ta-ra-ŋ-ɣʔa",сын,
